DialogName,LineIndex,ID,Text,ImagePath
Dialog10A_receive,0,Noah,门口又有信。,Noah_Neutral
Dialog10A_receive,1,Noah,……最近总是这样。,Noah_Neutral
Dialog10A_receive,2,Noah,我不知道是谁寄来的。,Noah_Neutral
Dialog10A_receive,3,Noah,但它们总会出现在这里。,Noah_Neutral
Dialog10A_receive,4,Noah,……先打开看看吧。,Noah_Neutral
Dialog10open,0,Noah,……,Noah_Recognition
Dialog10open,1,Noah,这是她的字。,Noah_Recognition
Dialog10open,2,Noah,我记得这张纸,Noah_Sad
Dialog10open,3,Noah,这张纸……像是能被剪开。,Noah_Neutral
Dialog10open,4,Noah,那天晚上,Noah_Sad
Dialog10open,5,Noah,她留下它就走了,Noah_Sad
Dialog10open,6,Noah,我以为只是她的气话,Noah_Regret
Dialog11open,0,Noah,……管理处？,Noah_Recognition
Dialog11open,1,Noah,原来别人也听见了。,Noah_Sad
Dialog11open,2,Noah,那段时间……,Noah_Sad
Dialog11open,3,Noah,我们总是在吵。,Noah_Regret
Dialog12open,0,Noah,...不,Noah_Crying
Dialog12open,1,Noah,别是这个,Noah_Crying
Dialog12open,2,Noah,我还是不敢打开,Noah_Sad
Dialog12open,3,Noah,那天晚上我甚至没有见到她,Noah_Regret
Dialog12open,4,Noah,她一定还恨我吧,Noah_Crying
Dialog13open,0,Noah,车票？,Noah_Recognition
Dialog13open,1,Noah,单程。,Noah_Recognition
Dialog13open,2,Noah,她原本打算离开。,Noah_Sad
Dialog13open,3,Noah,……背后有字。,Noah_Recognition
Dialog13open,4,Noah,“Not…...I just…” ,Noah_Recognition
Dialog13open,5,Noah,……她想说什么？,Noah_Recognition
Dialog13open,6,Noah,……这些词像是没写完,Noah_Recognition
Dialog13open,7,Noah,也许能拼成一句话？,Noah_Recognition
Dialog19success,0,Noah,不是恨。,Noah_Crying
Dialog19success,1,Noah,但是她回不来了,Noah_Crying
DialogName,LineIndex,ID,Text,ImagePath
Dialog20Areceive,0,Noah,门口还有信。,Noah_Neutral
Dialog20Areceive,1,Noah,……昨天之后，我以为不会再有了。,Noah_Neutral
Dialog20Areceive,2,Noah,但它们还是出现了。,Noah_Neutral
Dialog20Areceive,3,Noah,好像有什么……还没结束。,Noah_Sad
Dialog20Areceive,4,Noah,……打开看看吧。,Noah_Neutral
Dialog20open,0,Noah,……公司的邮件。,Noah_Recognition
Dialog20open,1,Noah,升职通知。,Noah_Recognition
Dialog20open,2,Noah,那段时间。,Noah_Sad
Dialog20open,3,Noah,我几乎每天都待在公司。,Noah_Sad
Dialog20open,4,Noah,我以为只要再努力一点。,Noah_Regret
Dialog20open,5,Noah,一切就会变好。,Noah_Regret
Dialog21open,0,Noah,……工资单。,Noah_Recognition
Dialog21open,1,Noah,46小时加班。,Noah_Recognition
Dialog21open,2,Noah,原来有这么多。,Noah_Sad
Dialog21open,3,Noah,我甚至不记得那些晚上。,Noah_Regret
Dialog21open,4,Noah,只记得一直很累。,Noah_Sad
Dialog22open,0,Noah,又是咖啡。,Noah_Recognition
Dialog22open,1,Noah,凌晨三点。,Noah_Sad
Dialog22open,2,Noah,……两杯。,Noah_Recognition
Dialog22open,3,Noah,她那时候还陪着我。,Noah_Sad
Dialog22open,4,Noah,我却没怎么注意。,Noah_Regret
Dialog23open,0,Noah,"For me？",Noah_Recognition
Dialog23open,1,Noah,……写了很多次。,Noah_Recognition
Dialog23open,2,Noah,她一直在想这个吗。,Noah_Sad
Dialog29success,0,Noah,"You've done too much for me.",Noah_Recognition
Dialog29success,1,Noah,可是Elena...这是我应该做的啊。,Noah_Sad
Dialog29success,2,Noah,我从来没有觉得那是负担。,Noah_Regret
Dialog29success,3,Noah,我只是想让你过得轻松一点。,Noah_Sad
Dialog30A_receive,0,Noah,……你又来了。,Noah_Soft
